"","type","fatalities","injuries","total"
"460","Light Snow/Flurries",0,0,0
"461","LIGHT SNOW/FREEZING PRECIP",0,0,0
"462","Light Snowfall",0,0,0
"463","LIGHTING",0,0,0
"465","LIGHTNING  WAUSEON",0,0,0
"466","LIGHTNING AND HEAVY RAIN",0,0,0
"468","LIGHTNING AND WINDS",0,0,0
"469","LIGHTNING DAMAGE",0,0,0
"470","LIGHTNING FIRE",0,0,0
"472","LIGHTNING THUNDERSTORM WINDS",0,0,0
"473","LIGHTNING THUNDERSTORM WINDSS",0,0,0
"475","LIGHTNING/HEAVY RAIN",0,0,0
"476","LIGNTNING",0,0,0
"477","LOCAL FLASH FLOOD",0,0,0
"478","LOCAL FLOOD",0,0,0
"479","LOCALLY HEAVY RAIN",0,0,0
"481","LOW TEMPERATURE RECORD",0,0,0
"482","LOW WIND CHILL",0,0,0
"483","MAJOR FLOOD",0,0,0
"485","MARINE HAIL",0,0,0
"491","Metro Storm, May 26",0,0,0
"492","Microburst",0,0,0
"493","MICROBURST",0,0,0
"494","MICROBURST WINDS",0,0,0
"495","Mild and Dry Pattern",0,0,0
"496","MILD PATTERN",0,0,0
"497","MILD/DRY PATTERN",0,0,0
"498","MINOR FLOOD",0,0,0
"499","Minor Flooding",0,0,0
"502","Mixed Precipitation",0,0,0
"503","MIXED PRECIPITATION",0,0,0
"504","MODERATE SNOW",0,0,0
"505","MODERATE SNOWFALL",0,0,0
"506","MONTHLY PRECIPITATION",0,0,0
"507","Monthly Rainfall",0,0,0
"508","MONTHLY RAINFALL",0,0,0
"509","Monthly Snowfall",0,0,0
"510","MONTHLY SNOWFALL",0,0,0
"511","MONTHLY TEMPERATURE",0,0,0
"512","Mountain Snows",0,0,0
"513","MUD SLIDE",0,0,0
"514","MUD SLIDES",0,0,0
"515","MUD SLIDES URBAN FLOODING",0,0,0
"516","MUD/ROCK SLIDE",0,0,0
"518","MUDSLIDE",0,0,0
"519","MUDSLIDE/LANDSLIDE",0,0,0
"521","MUDSLIDES",0,0,0
"522","NEAR RECORD SNOW",0,0,0
"523","No Severe Weather",0,0,0
"525","NON-TSTM WIND",0,0,0
"526","NON SEVERE HAIL",0,0,0
"528","NONE",0,0,0
"529","NORMAL PRECIPITATION",0,0,0
"530","NORTHERN LIGHTS",0,0,0
"531","Other",0,0,0
"533","PATCHY DENSE FOG",0,0,0
"534","PATCHY ICE",0,0,0
"535","Prolong Cold",0,0,0
"536","PROLONG COLD",0,0,0
"537","PROLONG COLD/SNOW",0,0,0
"538","PROLONG WARMTH",0,0,0
"539","PROLONGED RAIN",0,0,0
"540","RAIN",0,0,0
"541","RAIN (HEAVY)",0,0,0
"542","RAIN AND WIND",0,0,0
"543","Rain Damage",0,0,0
"546","RAINSTORM",0,0,0
"548","RECORD  COLD",0,0,0
"549","Record Cold",0,0,0
"551","RECORD COLD AND HIGH WIND",0,0,0
"552","RECORD COLD/FROST",0,0,0
"553","RECORD COOL",0,0,0
"554","Record dry month",0,0,0
"555","RECORD DRYNESS",0,0,0
"556","Record Heat",0,0,0
"558","RECORD HEAT WAVE",0,0,0
"559","Record High",0,0,0
"560","RECORD HIGH",0,0,0
"561","RECORD HIGH TEMPERATURE",0,0,0
"562","RECORD HIGH TEMPERATURES",0,0,0
"563","RECORD LOW",0,0,0
"564","RECORD LOW RAINFALL",0,0,0
"565","Record May Snow",0,0,0
"566","RECORD PRECIPITATION",0,0,0
"567","RECORD RAINFALL",0,0,0
"568","RECORD SNOW",0,0,0
"569","RECORD SNOW/COLD",0,0,0
"570","RECORD SNOWFALL",0,0,0
"571","Record temperature",0,0,0
"572","RECORD TEMPERATURE",0,0,0
"573","Record Temperatures",0,0,0
"574","RECORD TEMPERATURES",0,0,0
"575","RECORD WARM",0,0,0
"576","RECORD WARM TEMPS.",0,0,0
"577","Record Warmth",0,0,0
